date,owner,ticker,asset_description,asset_type,type,amount,senator,period_end,period_start,close,max/min,perc_off
2020-12-21,Spouse,TSLA,"Tesla, Inc.",Stock,Sale (Full),"$1,001 - $15,000",Pat Roberts,2021-02-10,2020-09-21,649.8599853515625,883.0900268554688,26.410675515654745
2020-12-11,Spouse,TSLA,"Tesla, Inc.",Stock,Purchase,"$1,001 - $15,000",Pat Roberts,2021-02-10,2020-09-11,609.989990234375,372.7200012207031,63.659043849695195
2020-12-07,Spouse,BA,The Boeing Company,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,2021-02-10,2020-09-07,238.1699981689453,144.38999938964844,64.9490956269234
2020-12-07,Spouse,TSLA,"Tesla, Inc.",Stock,Purchase,"$1,001 - $15,000",Pat Roberts,2021-02-10,2020-09-07,641.760009765625,330.2099914550781,94.34905859077563
2020-12-04,Spouse,BA,The Boeing Company,Stock,Sale (Full),"$15,001 - $50,000",Pat Roberts,2021-02-10,2020-09-04,232.7100067138672,238.1699981689453,2.292476591113328
2020-12-22,Spouse,COST,Costco Wholesale Corporation,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,2021-02-10,2020-09-22,361.3165588378906,332.5386657714844,8.653999076962066
2020-12-22,Spouse,AAPL,Apple Inc.,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,2021-02-10,2020-09-22,131.6832275390625,106.77596282958984,23.32665896838941
2020-12-16,Spouse,AAPL,Apple Inc.,Stock,Sale (Partial),"$100,001 - $250,000",Pat Roberts,2021-02-10,2020-09-16,127.61929321289062,142.94639587402344,10.722272896366249
2020-12-02,Spouse,ZM,"Zoom Video Communications, Inc.",Stock,Purchase,"$15,001 - $50,000",Pat Roberts,2021-02-10,2020-09-02,412.8599853515625,337.32000732421875,22.394158777169025
2020-11-30,Self,AIV,Apartment Investment and Management Company,Stock,Purchase,"$1,001 - $15,000",Patrick J Toomey,2021-02-10,2020-08-31,4.046092033386231,2.998262643814087,34.947885293971524
2020-12-22,Self,CRSP,CRISPR Therapeutics AG,Stock,Sale (Partial),"$50,001 - $100,000",James M Inhofe,2021-02-10,2020-09-22,170.0800018310547,210.0399932861328,19.024944168914303
2020-12-15,Self,BLK,"BlackRock, Inc.",Stock,Sale (Partial),"$50,001 - $100,000",James M Inhofe,2021-02-10,2020-09-15,698.1799926757812,779.75,10.461046146100514
2020-11-05,Spouse,WMT,Walmart Inc.,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,2021-02-04,2020-08-06,142.94747924804688,152.23353576660156,6.099875741434332
2020-11-05,Spouse,UPS,"United Parcel Service, Inc.",Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,2021-02-04,2020-08-06,162.56866455078125,175.46998596191406,7.352437706316934
2020-11-05,Spouse,SBUX,Starbucks Corporation,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,2021-02-04,2020-08-06,90.19468688964844,106.9800033569336,15.690143896595103
2020-11-05,Spouse,PLD,"Prologis, Inc.",Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,2021-02-04,2020-08-06,105.26496887207031,107.66097259521484,2.225508153407702
2020-11-05,Spouse,PG,The Procter &amp; Gamble Company,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,2021-02-04,2020-08-06,141.52635192871094,143.41494750976562,1.3168749937492237
2020-11-05,Spouse,MSFT,Microsoft Corporation,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,2021-02-04,2020-08-06,222.7069396972656,243.0,8.351053622524446
2020-11-05,Spouse,MDT,Medtronic plc,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,2021-02-04,2020-08-06,103.49311065673828,119.70999908447266,13.546811921943984
2020-11-05,Spouse,LOW,"Lowe's Companies, Inc.",Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,2021-02-04,2020-08-06,168.65731811523438,176.47103881835938,4.427763759677092
2020-11-05,Spouse,IBM,International Business Machines Corporation,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,2021-02-04,2020-08-06,111.63776397705078,129.91397094726562,14.067930367268573
2020-11-05,Spouse,DIS,The Walt Disney Company,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,2021-02-04,2020-08-06,126.95999908447266,181.17999267578125,29.92603807437746
2020-11-05,Spouse,CMCSA,Comcast Corporation,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,2021-02-04,2020-08-06,44.148048400878906,52.16139602661133,15.362601916643925
2020-11-05,Spouse,CSCO,"Cisco Systems, Inc.",Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,2021-02-04,2020-08-06,36.93049621582031,47.27698135375977,21.884826064760247
2020-11-05,Spouse,CVS,CVS Health Corporation,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,2021-02-04,2020-08-06,61.00195693969727,75.75328826904297,19.472859418267547
2020-11-05,Spouse,BLK,"BlackRock, Inc.",Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,2021-02-04,2020-08-06,664.8135375976562,779.75,14.740168310656458
2020-11-05,Spouse,AAPL,Apple Inc.,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,2021-02-04,2020-08-06,118.64769744873048,142.94639587402344,16.998468745379938
2020-11-05,Spouse,AMGN,Amgen Inc.,Stock,Sale (Full),"$1,001 - $15,000",William Cassidy,2021-02-04,2020-08-06,230.4048767089844,258.60000610351557,10.902988680999826
2020-11-10,Spouse,BYND,"Beyond Meat, Inc.",Stock,Sale (Full),"$50,001 - $100,000",Ron L Wyden,2021-02-09,2020-08-11,125.01000213623048,194.94500732421875,35.874222247547635
2020-11-16,Spouse,BA,The Boeing Company,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,2021-02-10,2020-08-17,202.3999938964844,144.38999938964844,40.175908824745676
2020-11-16,Spouse,V,Visa Inc.,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,2021-02-10,2020-08-17,212.6999969482422,180.59788513183597,17.775463867127655
2020-11-24,Spouse,COST,Costco Wholesale Corporation,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,2021-02-10,2020-08-25,373.6748962402344,326.1127014160156,14.584588278131676
2020-11-04,Spouse,COST,Costco Wholesale Corporation,Stock,Sale (Full),"$15,001 - $50,000",Pat Roberts,2021-02-03,2020-08-05,365.8458251953125,386.7962646484375,5.416401699785553
2020-11-09,Spouse,BA,The Boeing Company,Stock,Sale (Full),"$15,001 - $50,000",Pat Roberts,2021-02-08,2020-08-10,179.36000061035156,238.1699981689453,24.69244573654362
2020-11-04,Spouse,NVDA,NVIDIA Corporation,Stock,Sale (Full),"$15,001 - $50,000",Pat Roberts,2021-02-03,2020-08-05,551.6070556640625,582.3079223632812,5.272273572136896
2020-11-17,Joint,W,Wayfair Inc.,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,2021-02-10,2020-08-18,239.05999755859372,225.80999755859372,5.867764998563388
2020-11-16,Spouse,DAL,"Delta Air Lines, Inc.",Stock,Purchase,"$1,001 - $15,000",Pat Roberts,2021-02-10,2020-08-17,38.0,27.270000457763672,39.34726572100786
2020-11-10,Spouse,DIS,The Walt Disney Company,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,2021-02-09,2020-08-11,142.11000061035156,118.47000122070312,19.954418119409326
2020-11-20,Spouse,V,Visa Inc.,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,203.8800048828125,180.59788513183597,12.891690140214351
2020-11-20,Spouse,QCOM,QUALCOMM Incorporated,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,145.4024658203125,109.29828643798828,33.03270395076905
2020-11-20,Spouse,SNPS,"Synopsys, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,218.50999450683597,197.8600006103516,10.436669277663
2020-11-20,Spouse,GOLD,Barrick Gold Corporation,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,24.184284210205078,21.989999771118164,9.978555988749505
2020-11-20,Spouse,OHI,"Omega Healthcare Investors, Inc.",Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,33.7899169921875,38.06152725219727,11.222908192059407
2020-11-20,Spouse,WIW,Western Asset Inflation-Linked Opportunities &amp; Inc,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,11.54141902923584,11.0642671585083,4.312548349491138
2020-11-20,Spouse,ERIC,Telefonaktiebolaget LM Ericsson (publ),Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,12.109999656677244,10.398199081420898,16.462471643911158
2020-11-20,Spouse,SBIO,ALPS Medical Breakthroughs ETF,Other Securities,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,47.290000915527344,38.38999938964844,23.183124947583934
2020-11-20,Spouse,ARE,"Alexandria Real Estate Equities, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,163.1185760498047,150.56716918945312,8.33608477061729
2020-11-20,Spouse,LGI,"Lazard Global Total Return and Income Fund, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,16.511558532714847,14.396979331970215,14.687658792764651
2020-11-20,Spouse,ABYIX,Abbey Capital Futures Strategy Fund Class I,Other Securities,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,11.153338432312012,10.90723705291748,2.2563127417195403
2020-11-20,Spouse,MRVL,Marvell Technology Group Ltd.,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,43.90417861938477,33.37046432495117,31.565980598470475
2020-11-20,Spouse,BRKR,Bruker Corporation,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,50.99970245361328,38.30972671508789,33.12468353768645
2020-11-20,Spouse,MANT,ManTech International Corporation,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,76.18412780761719,62.06267547607422,22.753534589379612
2020-11-20,Spouse,ACIW,"ACI Worldwide, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,32.130001068115234,24.190000534057614,32.82348226027827
2020-11-20,Spouse,SWKS,"Skyworks Solutions, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,140.38999938964844,130.37528991699222,7.681447518952723
2020-11-20,Spouse,NUAN,"Nuance Communications, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,41.33000183105469,28.86000061035156,43.20859652452802
2020-11-20,Spouse,AJRD,"Aerojet Rocketdyne Holdings, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,37.540000915527344,32.419998168945305,15.792729906710548
2020-11-20,Spouse,SRVR,Pacer Benchmark Data &amp; Infrastructure Real Estate,Other Securities,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,35.34068298339844,33.936222076416016,4.138530517097394
2020-11-20,Spouse,CONE,CyrusOne Inc.,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,70.78446197509766,65.193603515625,8.575777619245557
2020-11-20,Spouse,CEF,Sprott Physical Gold and Silver Trust,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,18.43000030517578,17.309999465942386,6.470253459204372
2020-11-20,Spouse,WW,"WW International, Inc.",Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,27.440000534057614,32.759998321533196,16.239310317603838
2020-11-20,Spouse,XAR,SPDR S&amp;P Aerospace &amp; Defense ETF,Other Securities,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,104.03401947021484,84.22230529785156,23.523120273541906
2020-11-20,Spouse,GLD,SPDR Gold Shares,Other Securities,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,175.69000244140625,166.6699981689453,5.411894385045713
2020-11-20,Spouse,GMAB,Genmab A/S,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,36.52999877929688,33.65999984741211,8.52643774478635
2020-11-20,Spouse,BAH,Booz Allen Hamilton Holding Corporation,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,87.19000244140625,74.37256622314453,17.234091640464285
2020-11-20,Spouse,LDP,Cohen &amp; Steers Limited Duration Preferred and Inco,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,24.19598960876465,22.48360252380371,7.616159746410787
2020-11-20,Spouse,ABBV,AbbVie Inc.,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,99.6742172241211,79.55947875976562,25.282642342458104
2020-11-20,Spouse,FDN,First Trust Dow Jones Internet Index Fund,Other Securities,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,200.5500030517578,179.91000366210938,11.472402295323505
2020-11-20,Spouse,ATVI,"Activision Blizzard, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,76.80999755859375,75.12000274658203,2.2497267707948936
2020-11-20,Spouse,FTNT,"Fortinet, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,118.12000274658205,110.37000274658205,7.0218354690038325
2020-11-20,Spouse,RTH,VanEck Vectors Retail ETF,Other Securities,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,153.4152374267578,142.4655303955078,7.685864082948214
2020-11-20,Spouse,NTLA,"Intellia Therapeutics, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2021-02-10,2020-08-21,32.34000015258789,17.469999313354492,85.11735216764666
