date,owner,ticker,asset_description,asset_type,type,amount,senator,period_end,period_start,close,max/min,perc_off
2020-04-02,Spouse,SBUX,Starbucks Corporation,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,63.98332214355469,55.44892883300781,15.391448473692591
2020-04-02,Spouse,ARCC,Ares Capital Corporation,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,8.914626121520996,7.464267253875732,19.430693172088425
2020-04-02,Spouse,CVS,CVS Health Corporation,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,53.70635986328125,50.69198226928711,5.946458313626593
2020-04-02,Spouse,DGX,Quest Diagnostics Incorporated,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,75.776123046875,71.75495147705078,5.604033571272495
2020-04-02,Spouse,IWD,iShares Russell 1000 Value ETF,Other Securities,Purchase,"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,95.2109146118164,83.05602264404297,14.634570234438286
2020-04-02,Spouse,ARE,"Alexandria Real Estate Equities, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,128.85513305664062,111.90227508544922,15.149699108660755
2020-04-02,Spouse,LGI,"Lazard Global Total Return and Income Fund, Inc.",Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,10.845000267028807,15.51288604736328,30.090376259341326
2020-04-02,Spouse,PKG,Packaging Corporation of America,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,82.0457992553711,109.27062225341795,24.915043436750707
2020-04-02,Spouse,MET,"MetLife, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,26.73896598815918,22.430227279663086,19.209518721206706
2020-04-02,Spouse,EEM,iShares MSCI Emerging Markets ETF,Other Securities,Purchase,"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,33.231624603271484,30.12200355529785,10.323420360352202
2020-04-02,Spouse,GLAD,Gladstone Capital Corporation,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,4.543363094329834,3.937580823898315,15.384630754874962
2020-04-02,Spouse,SWKS,"Skyworks Solutions, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,82.46253967285156,67.16093444824219,22.783490656166506
2020-04-02,Spouse,GLD,SPDR Gold Shares,Other Securities,Sale (Partial),"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,151.89999389648438,167.3699951171875,9.24299556194137
2020-04-02,Spouse,CFG,"Citizens Financial Group, Inc.",Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,16.44272232055664,38.18226623535156,56.9362325976007
2020-04-02,Spouse,TCEHY,Tencent Holdings Limited,Stock,Sale (Partial),"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,48.68915176391602,66.69000244140625,26.99182788800428
2020-04-02,Spouse,MPC,Marathon Petroleum Corporation,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,20.26199531555176,58.52719116210938,65.38020206807838
2020-04-02,Spouse,RODM,Hartford Multifactor Developed Markets (ex-US) ETF,Other Securities,Purchase,"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,20.892902374267575,18.448606491088867,13.24921686827328
2020-04-02,Spouse,PTNQ,Pacer Trendpilot 100 ETF,Other Securities,Purchase,"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,34.20515823364258,32.31818389892578,5.838738775106478
2020-04-02,Spouse,KNX,Knight-Swift Transportation Holdings Inc.,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,30.70561408996582,42.30465698242188,27.417886634267262
2020-04-02,Spouse,CB,Chubb Limited,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,104.0711669921875,161.2082977294922,35.443045762558015
2020-04-02,Spouse,IRM,Iron Mountain Incorporated,Stock,Sale (Partial),"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,20.181095123291016,31.55568122863769,36.046080016247316
2020-04-02,Spouse,HPQ,HP Inc.,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,15.07503890991211,22.51353454589844,33.040105812001386
2020-04-02,Spouse,LHX,"L3Harris Technologies, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,181.0957946777344,148.2356719970703,22.167486569166385
2020-04-02,Spouse,APO,"Apollo Global Management, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,30.0036678314209,23.05738639831543,30.126057277736237
2020-04-02,Spouse,CAG,"Conagra Brands, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,29.121885299682614,34.921817779541016,16.60833498551814
2020-04-02,Spouse,GLW,Corning Incorporated,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,18.28683853149414,17.35782814025879,5.352111933178179
2020-04-02,Spouse,FITB,Fifth Third Bancorp,Stock,Sale (Full),"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,13.758699417114258,29.41706657409668,53.228853113350404
2020-04-02,Spouse,MSFT,Microsoft Corporation,Stock,Sale (Partial),"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,154.05210876464844,205.22531127929688,24.935132121693016
2020-04-02,Spouse,NVO,Novo Nordisk A/S,Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,58.85049438476562,49.0768051147461,19.915088700594353
2020-04-02,Spouse,PEP,"PepsiCo, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,121.16534423828124,101.66893768310548,19.176364973876872
2020-04-02,Spouse,TSN,"Tyson Foods, Inc.",Stock,Purchase,"$1,001 - $15,000",Thomas R Carper,2020-07-02,2020-01-02,53.06775665283203,43.29701232910156,22.56678647815886
2020-04-09,Spouse,NFLX,"Netflix, Inc.",Stock,Purchase,"$50,001 - $100,000",Pat Roberts,2020-07-09,2020-01-09,370.7200012207031,298.8399963378906,24.053006881160456
2020-04-08,Spouse,AAPL,Apple Inc.,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,2020-07-08,2020-01-08,66.00585174560547,55.66104125976562,18.585370039272973
2020-04-07,Spouse,DIS,The Walt Disney Company,Stock,Purchase,"$1,001 - $15,000",Pat Roberts,2020-07-07,2020-01-07,101.23999786376952,85.76000213623047,18.050367702823678
2020-04-07,Spouse,TJX,"The TJX Companies, Inc.",Stock,Purchase,"$1,001 - $15,000",Pat Roberts,2020-07-07,2020-01-07,46.68000030517578,36.7599983215332,26.985860817712975
2020-04-06,Spouse,NFLX,"Netflix, Inc.",Stock,Sale (Full),"$100,001 - $250,000",Pat Roberts,2020-07-06,2020-01-06,379.9599914550781,493.80999755859375,23.055427526050963
2020-04-28,Spouse,TJX,"The TJX Companies, Inc.",Stock,Sale (Full),"$1,001 - $15,000",Pat Roberts,2020-07-28,2020-01-28,49.09000015258789,63.9900016784668,23.284890037583622
2020-04-30,Spouse,MSFT,Microsoft Corporation,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,2020-07-30,2020-01-30,177.81578063964844,134.36647033691406,32.3364230628284
2020-04-29,Spouse,MA,Mastercard Incorporated,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,2020-07-29,2020-01-29,282.62384033203125,202.2232666015625,39.75832013874091
2020-04-29,Spouse,BYND,"Beyond Meat, Inc.",Stock,Purchase,"$1,001 - $15,000",Pat Roberts,2020-07-29,2020-01-29,100.0999984741211,54.02000045776367,85.30173570136444
2020-04-27,Spouse,MSFT,Microsoft Corporation,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,2020-07-27,2020-01-27,172.6959228515625,134.36647033691406,28.52605446771068
2020-04-27,Spouse,AAPL,Apple Inc.,Stock,Purchase,"$15,001 - $50,000",Pat Roberts,2020-07-27,2020-01-27,70.24797058105469,55.66104125976562,26.20671297400463
2020-04-24,Spouse,NVDA,NVIDIA Corporation,Stock,Sale (Full),"$50,001 - $100,000",Pat Roberts,2020-07-24,2020-01-24,289.285888671875,420.1800842285156,31.151927582901237
2020-04-15,Spouse,NFLX,"Netflix, Inc.",Stock,Sale (Full),"$50,001 - $100,000",Pat Roberts,2020-07-15,2020-01-15,426.75,548.72998046875,22.229509013622547
2020-04-24,Spouse,AMZN,"Amazon.com, Inc.",Stock,Sale (Full),"$50,001 - $100,000",Pat Roberts,2020-07-24,2020-01-24,2410.219970703125,3200.0,24.680625915527344
2020-04-24,Spouse,AMZN,"Amazon.com, Inc.",Stock,Purchase,"$15,001 - $50,000",Pat Roberts,2020-07-24,2020-01-24,2410.219970703125,1676.6099853515625,43.75555387126806
2020-04-17,Spouse,NFLX,"Netflix, Inc.",Stock,Sale (Full),"$15,001 - $50,000",Pat Roberts,2020-07-17,2020-01-17,422.9599914550781,548.72998046875,22.92019636073711
2020-04-16,Spouse,NFLX,"Netflix, Inc.",Stock,Purchase,"$15,001 - $50,000",Pat Roberts,2020-07-16,2020-01-16,439.1700134277344,298.8399963378906,46.958244816459
2020-04-15,Spouse,NFLX,"Netflix, Inc.",Stock,Sale (Full),"$100,001 - $250,000",Pat Roberts,2020-07-15,2020-01-15,426.75,548.72998046875,22.229509013622547
2020-01-17,Spouse,PRU,"Prudential Financial, Inc.",Stock,Sale (Partial),"$100,001 - $250,000",Kelly Loeffler,2020-04-17,2019-10-18,91.26856231689452,91.26856231689452,0.0
2020-04-13,Self,TEX,Terex Corporation,Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,2020-07-13,2020-01-13,15.6899995803833,28.18018913269043,44.32258950958524
2020-04-14,Self,TGT,Target Corporation,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-14,2020-01-14,106.83672332763672,123.4172134399414,13.434503705087508
2020-04-14,Self,STT,State Street Corporation,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-14,2020-01-14,59.14844131469727,79.7598648071289,25.84184858170596
2020-04-14,Self,SLB,Schlumberger Limited,Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,2020-07-14,2020-01-14,15.240920066833494,38.20488739013672,60.107407434033654
2020-04-14,Self,KHC,The Kraft Heinz Company,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-14,2020-01-14,27.43683624267578,33.18807601928711,17.32923527494941
2020-04-14,Self,HIG,"The Hartford Financial Services Group, Inc.",Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-14,2020-01-14,40.28061294555664,59.43621063232422,32.2288340440564
2020-04-14,Self,DFS,Discover Financial Services,Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,2020-07-14,2020-01-14,34.63442611694336,83.1973876953125,58.37077692417171
2020-04-14,Self,CL,Colgate-Palmolive Company,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-14,2020-01-14,71.44684600830078,75.59039306640625,5.481578928244701
2020-04-14,Self,CAT,Caterpillar Inc.,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-14,2020-01-14,113.26422882080078,143.70008850097656,21.1801259120094
2020-04-14,Self,BMY,Bristol-Myers Squibb Company,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-14,2020-01-14,58.67263412475586,65.35342407226561,10.222555347861132
2020-04-14,Self,BP,BP p.l.c.,Stock,Sale (Full),"$50,001 - $100,000",Kelly Loeffler,2020-07-14,2020-01-14,23.032270431518555,35.98244857788086,35.99026374854057
2020-04-13,Self,AMAT,"Applied Materials, Inc.",Stock,Sale (Full),"$1,001 - $15,000",Kelly Loeffler,2020-07-13,2020-01-13,49.37115859985352,66.72232818603516,26.005042176890342
2020-04-13,Self,AA,Alcoa Corporation,Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,2020-07-13,2020-01-13,7.550000190734862,20.3700008392334,62.935690330491916
2020-04-14,Spouse,STT,State Street Corporation,Stock,Sale (Full),"$250,001 - $500,000",Kelly Loeffler,2020-07-14,2020-01-14,59.14844131469727,79.7598648071289,25.84184858170596
2020-04-14,Spouse,PRU,"Prudential Financial, Inc.",Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-14,2020-01-14,55.7315788269043,91.26856231689452,38.93671883052337
2020-04-14,Spouse,K,Kellogg Company,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-14,2020-01-14,61.9943733215332,68.41780090332031,9.388532658136612
2020-04-14,Spouse,HIG,"The Hartford Financial Services Group, Inc.",Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-14,2020-01-14,40.28061294555664,59.43621063232422,32.2288340440564
2020-04-14,Spouse,GS,"The Goldman Sachs Group, Inc.",Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-14,2020-01-14,175.1024627685547,243.84703063964844,28.191677253877614
2020-04-14,Spouse,XOM,Exxon Mobil Corporation,Stock,Sale (Full),"$50,001 - $100,000",Kelly Loeffler,2020-07-14,2020-01-14,39.19058227539063,63.01212692260742,37.80469857250624
2020-04-14,Spouse,DD,"DuPont de Nemours, Inc.",Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,2020-07-14,2020-01-14,37.81486892700195,60.40522384643555,37.39801540486573
2020-04-14,Spouse,DFS,Discover Financial Services,Stock,Sale (Full),"$50,001 - $100,000",Kelly Loeffler,2020-07-14,2020-01-14,34.63442611694336,83.1973876953125,58.37077692417171
2020-04-14,Spouse,DAL,"Delta Air Lines, Inc.",Stock,Sale (Full),"$50,001 - $100,000",Kelly Loeffler,2020-07-14,2020-01-14,24.540000915527344,61.60428237915039,60.16510546378385
2020-04-14,Spouse,CVS,CVS Health Corporation,Stock,Sale (Full),"$250,001 - $500,000",Kelly Loeffler,2020-07-14,2020-01-14,59.667274475097656,73.21764373779297,18.506972596962967
2020-04-14,Spouse,CTVA,"Corteva, Inc.",Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,2020-07-14,2020-01-14,26.06977462768555,31.11655044555664,16.218943763387998
2020-04-14,Spouse,CL,Colgate-Palmolive Company,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-14,2020-01-14,71.44684600830078,75.59039306640625,5.481578928244701
2020-04-14,Spouse,CTSH,Cognizant Technology Solutions Corporation,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-14,2020-01-14,53.515708923339844,70.46443939208984,24.052884852231756
2020-04-14,Spouse,CSCO,"Cisco Systems, Inc.",Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-14,2020-01-14,41.71936798095703,48.23477554321289,13.507697483569288
2020-04-14,Spouse,BMY,Bristol-Myers Squibb Company,Stock,Sale (Full),"$250,001 - $500,000",Kelly Loeffler,2020-07-14,2020-01-14,58.67263412475586,65.35342407226561,10.222555347861132
2020-04-14,Spouse,BP,BP p.l.c.,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-14,2020-01-14,23.032270431518555,35.98244857788086,35.99026374854057
2020-04-14,Spouse,AIG,"American International Group, Inc.",Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,2020-07-14,2020-01-14,25.03338050842285,52.23313522338867,52.07375471267223
2020-04-14,Spouse,MO,"Altria Group, Inc.",Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,2020-07-14,2020-01-14,39.59568405151367,46.88883972167969,15.554139777090555
2020-04-14,Spouse,ABBV,AbbVie Inc.,Stock,Sale (Full),"$250,001 - $500,000",Kelly Loeffler,2020-07-14,2020-01-14,79.1241226196289,96.41403198242188,17.932980300984866
2020-04-07,Joint,AGCO,AGCO Corporation,Stock,Sale (Full),"$50,001 - $100,000",Kelly Loeffler,2020-07-07,2020-01-07,48.77366638183594,75.07008361816406,35.02915671452031
2020-04-07,Joint,MPC,Marathon Petroleum Corporation,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,21.49375915527344,57.53948211669922,62.645198801614725
2020-04-07,Joint,EBAY,eBay Inc.,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,31.31483459472656,55.82986068725586,43.91024048914613
2020-04-07,Joint,VZ,Verizon Communications Inc.,Stock,Sale (Full),"$250,001 - $500,000",Kelly Loeffler,2020-07-07,2020-01-07,54.57611846923828,58.13917922973633,6.128501997626515
2020-04-07,Joint,CTXS,"Citrix Systems, Inc.",Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,144.68572998046875,152.84291076660156,5.336970321501681
2020-04-07,Joint,PFE,Pfizer Inc.,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,30.61643028259277,36.70906448364258,16.597083817716637
2020-04-07,Joint,AAPL,Apple Inc.,Stock,Sale (Full),"$250,001 - $500,000",Kelly Loeffler,2020-07-07,2020-01-07,64.35862731933594,92.9946517944336,30.793195009104522
2020-04-07,Joint,C,Citigroup Inc.,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,39.57554626464844,78.06744384765625,49.305953526699746
2020-04-07,Joint,PRU,"Prudential Financial, Inc.",Stock,Sale (Full),"$50,001 - $100,000",Kelly Loeffler,2020-07-07,2020-01-07,49.50326156616211,91.26856231689452,45.76088380325164
2020-04-07,Joint,CSCO,"Cisco Systems, Inc.",Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,39.632423400878906,48.23477554321289,17.83433642108949
2020-04-07,Joint,WMT,Walmart Inc.,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,120.5179214477539,130.733154296875,7.813804313115455
2020-04-07,Joint,PYPL,"PayPal Holdings, Inc.",Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,100.27999877929688,177.42999267578125,43.48193489330801
2020-04-07,Joint,KMI,"Kinder Morgan, Inc.",Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,13.15986156463623,20.61094093322754,36.15108787478592
2020-04-07,Joint,T,AT&amp;T Inc.,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,28.03473472595215,36.385501861572266,22.950809273953126
2020-04-07,Joint,MDLZ,"Mondelez International, Inc.",Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,50.94458770751953,58.34516143798828,12.684125895057122
2020-04-07,Joint,FDX,FedEx Corporation,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,114.81005096435548,162.47181701660156,29.33540531978906
2020-04-07,Joint,LOW,"Lowe's Companies, Inc.",Stock,Sale (Full),"$250,001 - $500,000",Kelly Loeffler,2020-07-07,2020-01-07,89.46589660644531,134.3065185546875,33.38678005415187
2020-04-07,Joint,TFC,Truist Financial Corporation,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,29.547399520874023,53.98908996582031,45.271536268568255
2020-04-07,Joint,SAP,SAP SE,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,110.23854064941406,147.55999755859375,25.292394637211842
2020-04-07,Joint,DOCU,"DocuSign, Inc.",Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,87.97000122070312,190.9900054931641,53.93999754408524
2020-04-07,Joint,LMT,Lockheed Martin Corporation,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,348.5596618652344,428.837158203125,18.719808860375394
2020-04-07,Joint,DIS,The Walt Disney Company,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,101.23999786376952,145.6999969482422,30.514756359443467
2020-04-07,Joint,AMGN,Amgen Inc.,Stock,Sale (Full),"$250,001 - $500,000",Kelly Loeffler,2020-07-07,2020-01-07,204.6065826416016,254.79090881347656,19.69627817788944
2020-04-07,Joint,BAC,Bank of America Corporation,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,21.69931983947754,34.39750289916992,36.91600258575402
2020-04-07,Joint,STZ,"Constellation Brands, Inc.",Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,147.14678955078125,204.93724060058597,28.19909689446628
2020-04-07,Joint,JD,"JD.com, Inc.",Stock,Sale (Full),"$250,001 - $500,000",Kelly Loeffler,2020-07-07,2020-01-07,41.9900016784668,63.2400016784668,33.60214964579234
2020-04-07,Joint,KEY,KeyCorp,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,10.022979736328123,18.98465156555176,47.20482647932749
2020-04-07,Joint,ORCL,Oracle Corporation,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,49.91343688964844,55.92044067382813,10.742053731688657
2020-03-12,Joint,DG,Dollar General Corporation,Stock,Sale (Partial),"$50,001 - $100,000",Kelly Loeffler,2020-06-11,2019-12-12,140.9035186767578,190.7627258300781,26.13676594123129
2020-02-28,Joint,DG,Dollar General Corporation,Stock,Sale (Partial),"$50,001 - $100,000",Kelly Loeffler,2020-05-29,2019-11-29,149.1709442138672,190.49415588378903,21.692640111821106
2020-02-28,Joint,CME,CME Group Inc.,Stock,Sale (Partial),"$50,001 - $100,000",Kelly Loeffler,2020-05-29,2019-11-29,192.54129028320312,216.5677795410156,11.094212310221394
2020-02-27,Joint,FIS,"Fidelity National Information Services, Inc.",Stock,Purchase,"$15,001 - $50,000",Kelly Loeffler,2020-05-28,2019-11-28,137.50840759277344,101.71324157714844,35.19223796291533
2020-04-07,Spouse,WDC,Western Digital Corporation,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,42.86000061035156,70.01287841796875,38.78269030094386
2020-04-07,Spouse,TRV,"The Travelers Companies, Inc.",Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,2020-07-07,2020-01-07,98.73820495605469,137.56687927246094,28.225307226387912
2020-03-31,Spouse,TRV,"The Travelers Companies, Inc.",Stock,Purchase,"$15,001 - $50,000",Kelly Loeffler,2020-06-30,2019-12-31,97.33717346191406,80.03496551513672,21.618311241110035
2020-04-07,Spouse,PRU,"Prudential Financial, Inc.",Stock,Sale (Partial),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,49.50326156616211,91.26856231689452,45.76088380325164
2020-04-07,Spouse,NNVC,"NanoViricides, Inc.",Stock,Sale (Full),"$1,001 - $15,000",Kelly Loeffler,2020-07-07,2020-01-07,5.380000114440918,16.760000228881836,67.8997610920686
2020-04-07,Spouse,K,Kellogg Company,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,60.95170974731445,68.41780090332031,10.912498001150354
2020-04-07,Spouse,HIG,"The Hartford Financial Services Group, Inc.",Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,36.06985473632813,59.43621063232422,39.313333820255956
2020-04-07,Spouse,GLNCY,Glencore plc,Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,2020-07-07,2020-01-07,3.400000095367432,6.289999961853027,45.94594410194884
2020-04-07,Spouse,EMR,Emerson Electric Co.,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,49.12516403198242,75.56192779541016,34.986883652581426
2020-04-07,Spouse,DD,"DuPont de Nemours, Inc.",Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,36.66359329223633,60.40522384643555,39.3039360545308
2020-04-07,Spouse,DAL,"Delta Air Lines, Inc.",Stock,Sale (Full),"$50,001 - $100,000",Kelly Loeffler,2020-07-07,2020-01-07,22.25,61.60428237915039,63.88238099575626
2020-04-07,Spouse,CVX,Chevron Corporation,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,77.47583770751953,112.67555236816406,31.239886488978996
2020-04-07,Spouse,CSCO,"Cisco Systems, Inc.",Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,39.632423400878906,48.23477554321289,17.83433642108949
2020-04-07,Spouse,CR,Crane Co.,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,49.974037170410156,87.03741455078125,42.583270162220614
2020-04-07,Spouse,CAH,"Cardinal Health, Inc.",Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,46.51412963867188,58.11355590820313,19.95993204727283
2020-04-07,Spouse,AIZ,"Assurant, Inc.",Stock,Sale (Full),"$250,001 - $500,000",Kelly Loeffler,2020-07-07,2020-01-07,102.41326904296876,139.6002197265625,26.638174894303532
2020-04-07,Spouse,AIG,"American International Group, Inc.",Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,2020-07-07,2020-01-07,22.58636283874512,52.23313522338867,56.75855423545106
2020-04-07,Spouse,ADM,Archer-Daniels-Midland Company,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,34.832279205322266,44.30031204223633,21.37238407685966
2020-04-07,Joint,HELE,Helen of Troy Limited,Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,2020-07-07,2020-01-07,136.41999816894528,197.5800018310547,30.954551622287
2020-04-07,Joint,GOOGL,Alphabet Inc.,Stock,Sale (Full),"$250,001 - $500,000",Kelly Loeffler,2020-07-07,2020-01-07,1182.56005859375,1524.8699951171875,22.44846692633169
2020-04-07,Joint,ARNA,"Arena Pharmaceuticals, Inc.",Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,2020-07-07,2020-01-07,46.81000137329102,68.58999633789061,31.753894339498373
2020-04-07,Joint,ADP,"Automatic Data Processing, Inc.",Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,134.53497314453122,176.94610595703125,23.968390026508388
2020-04-07,Joint,CME,CME Group Inc.,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,171.90199279785156,216.5677795410156,20.624391512821887
2020-04-07,Joint,COST,Costco Wholesale Corporation,Stock,Sale (Full),"$100,001 - $250,000",Kelly Loeffler,2020-07-07,2020-01-07,293.4273681640625,313.1902160644531,6.310174100816582
2020-04-07,Spouse,DG,Dollar General Corporation,Stock,Sale (Full),"$15,001 - $50,000",Kelly Loeffler,2020-07-07,2020-01-07,168.2825927734375,191.12081909179688,11.94962768937799
2020-04-07,Joint,FIS,"Fidelity National Information Services, Inc.",Stock,Sale (Full),"$50,001 - $100,000",Kelly Loeffler,2020-07-07,2020-01-07,119.27603149414062,155.89633178710938,23.490161617771165
2020-04-07,Joint,IPHI,Inphi Corporation,Stock,Sale (Full),"$50,001 - $100,000",Kelly Loeffler,2020-07-07,2020-01-07,85.94000244140625,125.66999816894531,31.614543094150264
2020-04-07,Joint,MSFT,Microsoft Corporation,Stock,Sale (Full),"$250,001 - $500,000",Kelly Loeffler,2020-07-07,2020-01-07,162.21807861328125,209.64303588867188,22.621766124668696
